title,year
Astro Boy,2009
Planet 51,2009
Screamers: The Hunting,2009
Macross Frontier: The False Songstress,2009
Space Battleship Yamato Resurrection,2009
Aliens Stole My Virginity,2009
Space Battleship Yamato,2010
Halo Legends,2010
Robot Chicken: Star Wars III,2010
Space Chimps 2: Zartog Strikes Back,2010
Mobile Suit Gundam 00: A Wakening of the Trailblazer,2010
Tin Can,2010
Transformers: Dark of the Moon,2011
Apollo 18,2011
Mars Needs Moms,2011
Lego Star Wars: The Padawan Menace,2011
Macross Frontier: The Wings of Farewell,2011
Transmission,2011
John Carter,2012
Iron Sky,2012
Lockout,2012
Escape from Planet Earth,2012
Lego Star Wars: The Empire Strikes Out,2012
Star Wars Uncut,2012
Cycle,2012
Star Blazers 2199,2012
Space Battleship Yamato 2199: Desperate Struggle in the Heliosphere,2012
The Wrong Stuff,2012
Space Battleship Yamato 2199: Endless Voyage,2012
Gravity,2013
Star Trek Into Darkness,2013
Ender's Game,2013
Europa Report,2013
After Earth,2013
The Last Days on Mars,2013
Harlock: Space Pirate,2013
Stranded,2013
Space Warriors,2013
Islands,2013
Space Battleship Yamato 2199: And Now the Warship Comes,2013
Space Battleship Yamato 2199: Defense of the Galactic March,2013
Space Battleship Yamato 2199: The Redolence of Intergalactic Space,2013
Space Battleship Yamato 2199: Arrival! Large Magellanic Cloud,2013
Interstellar,2014
Guardians of the Galaxy,2014
Age of Tomorrow,2014
The Empire Strikes Back Uncut: Director's Cut,2014
Aliens on the Moon: The Truth Exposed,2014
In Search of the Ultra-Sex,2014
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,2014
Star Wars: Threads of Destiny,2014
Bodacious Space Pirates: Abyss of Hyperspace,2014
Projet-M,2014
Space Battleship Yamato 2199: A Voyage to Remember,2014
Not Alone: NASA's Secret Science,2014
Apollo: A 16mm Adventure to the Moon,2014
Star Wars: Episode VII - The Force Awakens,2015
The Martian,2015
Jupiter Ascending,2015
400 Days,2015
Mobile Suit Gundam: The Origin I - Blue-Eyed Casval,2015
Capture the Flag,2015
Mobile Suit Gundam: The Origin II - Artesia's Sorrow,2015
A Space Program,2015
Cosmodrama,2015
Space Zombies,2015
Speedwagon,2015
After the World Ended,2015
The Mars Project,2015
Failure,2015
Rogue One: A Star Wars Story,2016
Passengers,2016
Star Trek Beyond,2016
Ratchet & Clank,2016
Approaching the Unknown,2016
Mobile Suit Gundam: The Origin III - Dawn of Rebellion,2016
Mobile Suit Gundam: The Origin IV - Eve of Destiny,2016
Doctor Who: Friend from the Future,2016
Inhumanwich!,2016
The Kids from 62-F,2016
Space Breakers,2016
Red Dust Midterm,2016
Star Wars: Episode VIII - The Last Jedi,2017
Alien: Covenant,2017
Guardians of the Galaxy Vol. 2,2017
Life,2017
Valerian and the City of a Thousand Planets,2017
The Space Between Us,2017
Magellan,2017
The Last Scout,2017
Si Juki the Movie: Panitia Hari Akhir,2017
Mobile Suit Gundam: The Origin V - Clash at Loum,2017
Space Battleship Yamato 2202: Chapter 1,2017
Space Battleship Yamato 2202: Chapter of Departure,2017
Space Battleship Yamato 2202: Warriors of Love - Ch. 3,2017
Avengers: Infinity War,2018
Solo: A Star Wars Story,2018
The Cloverfield Paradox,2018
Aniara,2018
Zoo Wars,2018
Martians vs. Mexicans,2018
Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,2018
Gekijouban Macross Delta: Gekijou no Walküre,2018
Another Plan from Outer Space,2018
The Frontiersman,2018
Barak Feldman: One Day Love,2018
Space Battleship Yamato 2202 Chapter 4,2018
Drip,2018
Space Battleship Yamato 2202: Chapter 5,2018
Space Battleship Yamato 2202: Chapter 6,2018
Avengers: Endgame,2019
Star Wars: Episode IX - The Rise of Skywalker,2019
Captain Marvel,2019
Ad Astra,2019
The Lego Movie 2: The Second Part,2019
Proxima,2019
Terra Willy,2019
3022,2019
Invader ZIM: Enter the Florpus,2019
BoBoiBoy Movie 2,2019
Cargo,2019
The Tree House,2019
Assassinaut,2019
Legend of the Galactic Heroes: Die Neue These - Stellar War,2019
The Last Astronaut,2019
Legend of the Galactic Heroes: Die Neue These - Stellar War 2,2019
Legend of the Galactic Heroes: Die Neue These - Stellar War 3,2019
The Last Push,2019
Higher Space,2019
Today is Spaceship Day,2019
Trash on Mars,2019
Space Battleship Yamato 2202: Chapter 7,2019
We Can Be Heroes,2020
Proximity,2020
Sputnik,2020
The Midnight Sky,2020
The Lego Star Wars Holiday Special,2020
Last Journey of Paul W.R.,2020
Breach,2020
Unbelievable!!!!!,2020
Among Us: The Movie,2020
Battle Star Wars,2020
Space,2020
Spacedrop,2020
Anonymous Vol. 1 - The Dreamland Adventures the Mysteries of Atlantis,2020
"Dream, Above and Beyond",2020
The Peacemakers,2020
Project: Scorpion,2020
Dune: Part One,2021
Chaos Walking,2021
Voyagers,2021
Space Jam: A New Legacy,2021
Stowaway,2021
The Colony,2021
Space Sweepers,2021
Cosmic Sin,2021
Lego Star Wars Terrifying Tales,2021
Knights of Sidonia: Love Woven in the Stars,2021
Bastille Day,2021
Star Blazers: Space Battleship Yamato 2205 - The New Voyage - Prior Chapter: Take Off,2021
Bigfoot vs Krampus,2021
Gekijouban Macross Delta: Zettai Live!!!!!!,2021
Aliens Reaction,2021
Star Blazers Chronicle 2202,2021
Big Brain Billy Returns from the Dead,2021
The Sky Oscillates between Eternity and Its Immediate Consequences,2021
Lightyear,2022
Mira,2022
Linoleum,2022
Project 'Gemini',2022
Rubikon,2022
In Space with Markiplier: Part 1,2022
Space Wars: Quest for the Deepstar,2022
In Space with Markiplier: Part 2,2022
Amityville in Space,2022
Kepler 62F,2022
The Fourth Sunrise,2022
The Astronaut and His Parrot,2022
The Legend of the Galactic Heroes: Die Neue These Collision 1,2022
Star Blazers: Space Battleship Yamato 2205 - A New Voyage - Later Chapter: Stasha,2022
Break of Dawn,2022
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,2022
Legend of the Galactic Heroes: Die Neue These - Intrigue 2,2022
Legend of the Galactic Heroes: Die Neue These - Intrigue 3,2022
The Legend of the Galactic Heroes: Die Neue These Collision 2,2022
The Legend of the Galactic Heroes: Die Neue These Collision 3,2022
Guardians of the Galaxy Vol. 3,2023
Rebel Moon - Part One: A Child of Fire,2023
The Marvels,2023
I.S.S.,2023
Landscape with Invisible Hand,2023
Crater,2023
The Primevals,2023
The Moon,2023
A Million Days,2023
Ultra Red,2023
Bernard: Mission Mars,2023
Wow! Nachricht aus dem All,2023
Wingman: An X-Wing Story,2023
Phoenix: Reminiscence of Flower,2023
Beneath the Green,2023
Gammelgormium: First Contact,2023
"Aliens, Atlantis and the Illuminati: The New America",2023
Luna Project,2023
Human,2023
Solaris Mon Amour,2023
Run'n Guns,2023
COgITOR Soft Robot,2023
Dune: Part Two,2024
Alien: Romulus,2024
Transformers One,2024
Borderlands,2024
Spaceman,2024
Atlas,2024
Distant,2024
Rebel Moon - Part Two: The Scargiver,2024
Slingshot,2024
Doraemon the Movie: Nobita's Earth Symphony,2024
The Empire,2024
Lesbian Space Princess,2024
The Silent Planet,2024
Big City Greens the Movie: Spacecation,2024
Mobile Suit Gundam SEED Freedom,2024
Killer Kabbage,2024
The Spaceman,2024
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,2024
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,2024
Spacegate Station: The Path of Honor,2024
Lilo & Stitch,2025
Mickey 17,2025
The Fantastic Four: First Steps,2025
Lost in Starlight,2025
Elio,2025
Ash,2025
Star Trek: Section 31,2025
Of Infinite Worlds,2025
Mobile Suit Gundam GQuuuuuuX: Beginning,2025
Douglas Adams: The Man Who Imagined Our Future,2025
Be Forever Yamato Rebel 3199: Part 3: Ultramarine Asteroid,2025
Be Forever Yamato Rebel 3199: Part 4: The Aqua Sasha,2025
Hessy the Movie,2025
Project Hail Mary,2026
Star Wars: The Mandalorian and Grogu,2026
Yugantar - The End of Time,2026
Star Wars: Rogue Squadron,
Rendezvous with Rama,
